Meaning,Kanji,Kana,Lesson,Vocabulary_Kanji,Kanji＿Lesson
o'clock,〜時,〜じ,1,時,3
...yen,〜円,〜えん,2,円,3
sometimes,時々,ときどき,3,時,3
when...; at the time of...,時,とき,4,時,3
one thing,一つ,ひとつ,9,一,3
two things,二つ,ふたつ,9,二,3
three things,三つ,みっつ,9,三,3
four things,四つ,よっつ,9,四,3
five things,五つ,いつつ,9,五,3
six things,六つ,むっつ,9,六,3
seven things,七つ,ななつ,9,七,3
eight things,八つ,やっつ,9,八,3
nine things,九つ,ここのつ,9,九,3
ten,十,じゅう,9,十,3
people,〜人,〜じん,1,人,4
Japan,日本,にほん,1,日本,4
half,半,はん,1,半,4
book,本,ほん,2,本,4
water,水,みず,3,水,4
Saturday,土曜日,どようび,3,土曜日,4
Sunday,日曜日,にちようび,3,日曜日,4
person,人,ひと,4,人,4
Tuesday,火曜日,かようび,4,火曜日,4
Wednesday,水曜日,すいようび,4,水曜日,4
Thursday,木曜日,もくようび,4,木曜日,4
Friday,金曜日,きんようび,4,金曜日,4
alone,一人で,ひとりで,4,一人,4
inside,中,なか,4,中,4
on,上,うえ,4,上,4
under,下,した,4,下,4
Monday,月曜日,げつようび,4,月曜日,4
money,お金,おかね,6,金,4
one person,一人,ひとり,7,一人,4
two people,二人,ふたり,7,二人,4
for two to three days,二三日,にさんにち,12,二三日,4
one day,一日,いちにち,13,一日,4
two days,二日,ふつか,13,二日,4
three days,三日,みっか,13,三日,4
four days,四日,よっか,13,四日,4
five days,五日,いつか,13,五日,4
six days,六日,むいか,13,六日,4
seven days,七日,なのか,13,七日,4
eight days,八日,ようか,13,八日,4
nine days,九日,ここのか,13,九日,4
ten days,十日,とおか,13,十日,4
[counter for long objects],本,ぽん,14,本,4
to withdraw (money),下ろす,おろす,15,下,4
all day long,一日中,いちにちじゅう,15,一日中,4
day,日,ひ,16,日,4
honorific expression for くれる,下さる,くださる,19,下,4
moon,月,つき,20,月,4
tree,木,き,22,木,4
now,今,いま,1,今,5
I,私,わたし,1,私,5
today,今日,きょう,3,今日,5
to go,行く,いく,3,行,5
to drink,飲む,のむ,3,飲,5
to eat,食べる,たべる,3,食,5
to see; to look at; to watch,見る,みる,3,見,5
weather,天気,てんき,5,天気,5
healthy; energetic,元気,げんき（な）,5,元気,5
man,男の人,おとこのひと,7,男人,5
woman,女の人,おんなのひと,7,女人,5
this month,今月,こんげつ,8,今月,5
to stare (at ...),じろじろ見る,じろじろみる,8,見,5
to be popular,人気がある,にんきがある,9,人気,5
mountain,山,やま,11,山,5
don't look well,元気がない,げんきがない,12,元気,5
I (formal),私,わたくし,13,私,5
we,私たち,わたしたち,14,私,5
to be cautious/careful,気をつける,きをつける,15,気,5
to be visible,見える,みえる,15,見,5
to show,見せる,みせる,16,見,5
by the end of today,今日中に,きょうじゅうに,16,今日中,5
man,男,おとこ,17,男,5
woman,女,おんな,17,女,5
right away,今すぐ,いますぐ,18,今,5
to find,見つける,みつける,21,見,5
Take care of yourself.,元気でね,げんきでね,23,元気,5
student,学生,がくせい,1,学生,6
teacher; Professor ...,先生,せんせい,1,先生,6
college; university,大学,だいがく,1,大学,6
China,中国,ちゅうごく,1,中国,6
college student,大学生,だいがくせい,1,大学生,6
right,右,みぎ,4,右,6
left,左,ひだり,4,左,6
large,大きい,おおきい,5,大,6
to go out,出かける,でかける,5,出,6
country; place of origin,国,くに,7,国,6
college student,大学生,だいがくせい,8,大学生,6
last month,先月,せんげつ,9,先月,6
(1) to appear; to attend (2) to exit,出る,でる,9,出,6
foreign country,外国,がいこく,11,外国,6
to cough,せきが出る,せきがでる,12,出,6
adult,大人,おとな,13,大人,6
foreigner,外国人,がいこくじん,15,外国人,6
to take (something) out; to hand in (something),出す,だす,16,出,6
outside,外,そと,18,外,6
junior high school student,中学生,ちゅうがくせい,19,中学生,6
language,〜語,〜ご,1,語,7
high school,高校,こうこう,1,高校,7
literature,文学,ぶんがく,1,文学,7
high school student,高校生,こうこうせい,1,高校生,7
mother,お母さん,おかあさん,1,母,7
father,お父さん,おとうさん,1,父,7
expensive,高い,たかい,2,高,7
school,学校,がっこう,3,学校,7
every day,毎日,まいにち,3,毎日,7
to go back; to return,帰る,かえる,3,帰,7
to meet; to see (a person),会う,あう,4,会,7
small,小さい,ちいさい,5,小,7
to enter,入る,はいる,6,入,7
company,会社,かいしゃ,7,会社,7
(my) father,父,ちち,7,父,7
good child,いい子,いいこ,9,子,7
boy,男の子,おとこのこ,11,男子,7
girl,女の子,おんなのこ,11,女子,7
foreign language,外国語,がいこくご,13,外国語,7
(my) mother,母,はは,14,母,7
to put (something) in,入れる,いれる,16,入,7
(your/their) child (polite),お子さん,おこさん,19,子,7
elementary school,小学校,しょうがっこう,23,小学校,7
what,何,なん／なに,1,何,8
job; work; occupation,仕事,しごと,1,仕事,8
office worker,会社員,かいしゃいん,1,会社員,8
newspaper,新聞,しんぶん,2,新聞,8
to listen; to hear,聞く,きく,3,聞,8
to read,読む,よむ,3,読,8
holiday; day off; absence,休み,やすみ,5,休,8
new,新しい,あたらしい,5,新,8
to ask,聞く,きく,5,聞,8
next,次,つぎ,6,次,8
electricity,電気,でんき,6,電気,8
train,電車,でんしゃ,6,電車,8
to be absent (from...); to rest,休む,やすむ,6,休,8
car,車,くるま,7,車,8
office worker,会社員,かいしゃいん,8,会社員,8
job; work; occupation,仕事,しごと,8,仕事,8
something,何か,なにか,8,何,8
to say,言う,いう,8,言,8
to think,思う,おもう,8,思,8
to make,作る,つくる,8,作,8
essay; composition,作文,さくぶん,9,作文,8
Get well soon.,お大事に,おだいじに,12,大事,8
e-mail,電子メール,でんしメール,14,電子,8
honorific expression for ねる,お休みになる,おやすみになる,19,休,8
to be audible,聞こえる,きこえる,20,聞,8
things; matters,事,こと,21,事,8
memory,思い出,おもいで,23,思出,8
P.M.,午後,ごご,1,午後,9
A.M.,午前,ごぜん,1,午前,9
telephone,電話,でんわ,1,電話,9
name,名前,なまえ,1,名前,9
home; house,家,いえ,3,家,9
home; house; my place,家,うち,3,家,9
to speak; to talk,話す,はなす,3,話,9
to come,来る,くる,3,来,9
hour,〜時間,〜じかん,4,時間,9
one hour,一時間,いちじかん,4,一時間,9
to write,書く,かく,4,書,9
front,前,まえ,4,前,9
back,後ろ,うしろ,4,後,9
between,間,あいだ,4,間,9
old (thing - not used for people),古い,ふるい,5,古,9
to make a phone call,電話をかける,でんわをかける,6,電話,9
later on,後で,あとで,6,後,9
to get to know,知る,しる,7,知,9
I know,知っています,しっています,7,知,9
I do not know,知りません,しりません,7,知,9
rain,雨,あめ,8,雨,9
next month,来月,らいげつ,8,来月,9
white,白い,しろい,9,白,9
after (an event),後,あと,11,後,9
landlord,大家さん,おおやさん,14,大家,9
time,時間,じかん,14,時間,9
the other day,この間,このあいだ,16,間,9
a little; a few,少ない,すくない,17,少,9
before...,前,まえ,17,前,9
the rest,後,あと,18,後,9
chat; talk,話,はなし,19,話,9
to have a talk,話をする,はなしをする,19,話,9
a few seconds,少々,しょうしょう,20,少,9
while...,〜間に,〜あいだに,21,間,9
a little,少し,すこし,21,少,9
household matters,家事,かじ,22,家事,9
a little more,もう少し,もうすこし,22,少,9
the rain stops,雨がやむ,あめがやむ,23,雨,9
...year student,〜年生,〜ねんせい,1,年生,10
morning,朝,あさ,3,朝,10
town; city,町,まち,4,町,10
to buy,買う,かう,4,買,10
night,夜,よる,6,夜,10
next year,来年,らいねん,6,来年,10
to stand up,立つ,たつ,6,立,10
to carry; to hold,持つ,もつ,6,持,10
to bring (a thing),持ってくる,もってくる,6,持,10
long,長い,ながい,7,長,10
to live,住む,すむ,7,住,10
this morning,今朝,けさ,8,今朝,10
to take (something),持っていく,もっていく,8,持,10
rich person,お金持ち,おかねもち,10,金持,10
this year,今年,ことし,10,今年,10
New Year's,お正月,おしょうがつ,11,正月,10
president of a company,社長,しゃちょう,11,社長,10
snow,雪,ゆき,12,雪,10
to sell,売る,うる,15,売,10
way; road; directions,道,みち,16,道,10
(do something) oneself,自分で,じぶんで,16,自分,10
oneself,自分,じぶん,17,自分,10
every morning,毎朝,まいあさ,19,毎朝,10
graduate student,大学院生,だいがくいんせい,1,大学院生,11
movie,映画,えいが,3,映画,11
to study,勉強する,べんきょうする,3,勉強,11
letter,手紙,てがみ,4,手紙,11
hospital,病院,びょういん,4,病院,11
travel,旅行,りょこう,5,旅行,11
fond of; to like,好き,すき（な）,5,好,11
very fond of; to love,大好き,だいすき（な）,5,大好,11
song,歌,うた,7,歌,11
to sing,歌う,うたう,7,歌,11
place,所,ところ,8,所,11
skillful; good at...,上手,じょうず,8,上手,11
clumsy; poor at...,下手,へた,8,下手,11
famous,有名,ゆうめい,8,有名,11
illness; sickness,病気,びょうき,9,病気,11
celebrity,有名人,ゆうめいじん,10,有名人,11
singer,歌手,かしゅ,11,歌手,11
close; near,近い,ちかい,13,近,11
graduate school,大学院,だいがくいん,16,大学院,11
paper,紙,かみ,17,紙,11
travel agency,旅行会社,りょこうがいしゃ,17,旅行会社,11
strong,強い,つよい,17,強,11
bright,明るい,あかるい,18,明,11
to get up,起きる,おきる,3,起,12
early,早い,はやい,3,早,12
to use,使う,つかう,6,使,12
to bring (a person),連れてくる,つれてくる,6,連,12
fast,早い,はやい,7,早,12
color,色,いろ,9,色,12
near future,今度,こんど,9,今度,12
blue,青い,あおい,9,青,12
red,赤い,あかい,9,赤,12
(do something) early; fast,早く,はやく,10,早,12
to work,働く,はたらく,11,働,12
to break up; to separate,別れる,わかれる,12,別,12
to wake (someone) up,起こす,おこす,16,起,12
to take (someone) to (a place),連れていく,つれていく,16,連,12
baby,赤ちゃん,あかちゃん,21,赤,12
old days; past,昔,むかし,21,昔,12
many times,何度も,なんども,22,何度,12
meat,肉,にく,2,肉,13
shopping,買い物,かいもの,4,買物,13
sea,海,うみ,5,海,13
food,食べ物,たべもの,5,食物,13
drink,飲み物,のみもの,5,飲物,13
inexpensive; cheap (thing),安い,やすい,5,安,13
to put on (clothes above your waist),着る,きる,7,着,13
air,空気,くうき,8,空気,13
to cook,料理する,りょうりする,8,料理,13
thing (concrete object),物,もの,12,物,13
bad,悪い,わるい,12,悪,13
karate,空手,からて,13,空手,13
kimono; Japanese traditional dress,着物,きもの,13,着物,13
same,同じ,おなじ,14,同,13
to arrive,着く,つく,15,着,13
to feel sick,気分が悪い,きぶんがわるい,18,気分悪,13
airport,空港,くうこう,20,空港,13
trip to a foreign country,海外旅行,かいがいりょこう,23,海外旅行,13
body,体,からだ,23,体,13
to talk behind someone's back,悪口を言う,わるぐちをいう,23,悪口言,13
English (language),英語,えいご,1,英語,14
international student,留学生,りゅうがくせい,1,留学生,14
doctor,医者,いしゃ,1,医者,14
music,音楽,おんがく,3,音楽,14
postal stamps,切手,きって,5,切手,14
fun,楽しい,たのしい,5,楽,14
to ride; to board,乗る,のる,5,乗,14
to hurry,急ぐ,いそぐ,6,急,14
Really?,本当ですか,ほんとうですか,6,本当,14
family,家族,かぞく,7,家族,14
kind,親切,しんせつ,7,親切,14
to cut,切る,きる,8,切,14
to study abroad,留学する,りゅうがくする,11,留学,14
girlfriend,彼女,かのじょ,12,彼女,14
boyfriend,彼,かれ,12,彼,14
shop; store,店,みせ,13,店,14
last year,去年,きょねん,14,去年,14
parent,親,おや,16,親,14
relatives,親せき,しんせき,16,親,14
really,本当に,ほんとうに,18,本当,14
in fact; originally,本当は,ほんとうは,19,本当,14
sound,音,おと,20,音,14
precious; valuable,大切,たいせつ,21,大切,14
English conversation,英会話,えいかいわ,22,英会話,14
easy; comfortable,楽,らく,22,楽,14
fish,魚,さかな,2,魚,15
bicycle,自転車,じてんしゃ,2,自転車,15
temple,お寺,おてら,4,寺,15
to die,死ぬ,しぬ,6,死,15
to borrow,借りる,かりる,6,借,15
summer,夏,なつ,8,夏,15
mean-spirited,意地悪,いじわる,9,意地悪,15
leg; foot,足,あし,12,足,15
meaning,意味,いみ,12,意味,15
spacious; wide,広い,ひろい,15,広,15
to be sufficient; to be enough,足りる,たりる,17,足,15
to fall down,転ぶ,ころぶ,18,転,15
to place an order,注文する,ちゅうもんする,18,注文,15
to watch out; to give warning,注意する,ちゅういする,19,注意,15
to run,走る,はしる,22,走,15
place,場所,ばしょ,23,場所,15
child,子供,こども,4,子供,16
bookstore,本屋,ほんや,4,本屋,16
last week,先週,せんしゅう,4,先週,16
room,部屋,へや,5,部屋,16
this week,今週,こんしゅう,6,今週,16
next week,来週,らいしゅう,6,来週,16
to open (something),開ける,あける,6,開,16
to teach; to instruct,教える,おしえる,6,教,16
every week,毎週,まいしゅう,8,毎週,16
to begin,始める,はじめる,8,始,16
to drive,運転する,うんてんする,8,運転,16
(something) begins,始まる,はじまる,9,始,16
to do physical exercises,運動する,うんどうする,9,運動,16
world,世界,せかい,10,世界,16
all,全部,ぜんぶ,13,全部,16
(something) opens,開く,あく,18,開,16
to think (about); to consider,考える,かんがえる,18,考,16
department manager,部長,ぶちょう,19,部長,16
safe,安全,あんぜん,21,安全,16
subordinate,部下,ぶか,22,部下,16
to carry from one place to another; transport,運ぶ,はこぶ,22,運,16
to be in someone's care,お世話になる,おせわになる,23,世話,16
to take care of ...,世話をする,せわをする,23,世話,16
...years old,〜歳,〜さい,1,歳,17
picture; photograph,写真,しゃしん,4,写真,17
to get married,結婚する,けっこんする,7,結婚,17
life; living,生活,せいかつ,10,生活,17
on foot,歩いて,あるいて,10,歩,17
to learn,習う,ならう,11,習,17
presentation,発表,はっぴょう,15,発表,17
to collect,集める,あつめる,16,集,17
letter; character,字,じ,20,字,17
to walk,歩く,あるく,20,歩,17
to lead a life,生活する,せいかつする,20,生活,17
library,図書館,としょかん,2,図書館,18
homework,宿題,しゅくだい,5,宿題,18
cafeteria; dining commons,食堂,しょくどう,7,食堂,18
eye,目,め,7,目,18
exam,試験,しけん,9,試験,18
(something) ends,終わる,おわる,9,終,18
class,授業,じゅぎょう,11,授業,18
clothes,服,ふく,12,服,18
to lend; to rent,貸す,かす,13,貸,18
movie theater,映画館,えいがかん,15,映画館,18
map,地図,ちず,15,地図,18
inn,旅館,りょかん,15,旅館,18
in class; during the class,授業中に,じゅぎょうちゅうに,16,授業中,18
last train,終電,しゅうでん,21,終電,18
tuition,授業料,じゅぎょうりょう,23,授業料,18
Asian studies,アジア研究,アジアけんきゅう,1,研究,19
older sister,お姉さん,おねえさん,1,姉,19
older brother,お兄さん,おにいさん,1,兄,19
kanji; Chinese character,漢字,かんじ,6,漢字,19
(my) older sister,姉,あね,7,姉,19
older brother,お兄さん,おにいさん,7,兄,19
older sister,お姉さん,おねえさん,7,姉,19
winter,冬,ふゆ,8,冬,19
fall,秋,あき,10,秋,19
spring,春,はる,10,春,19
flower,花,はな,12,花,19
there are many...,多い,おおい,12,多,19
probably; maybe,多分,たぶん,12,多分,19
(my) older brother,兄,あに,14,兄,19
to graduate (from ...),卒業する,そつぎょうする,15,卒業,19
party of ... people,〜名様,〜めいさま,19,名様,19
God,神様,かみさま,20,神様,19
factory,工場,こうじょう,21,工場,19
green tea,お茶,おちゃ,3,茶,20
[counter for flat objects],〜枚,〜まい,5,枚,20
to pay,払う,はらう,10,払,20
hurt; painful,痛い,いたい,12,痛,20
plate; dish,皿,さら,14,皿,20
parents,両親,りょうしん,14,両親,20
recently,最近,さいきん,15,最近,20
to laugh,笑う,わらう,16,笑,20
definitely,絶対に,ぜったいに,22,絶対,20
younger sister,妹,いもうと,1,妹,21
younger brother,弟,おとうと,1,弟,21
watch; clock,時計,とけい,2,時計,21
dog,犬,いぬ,4,犬,21
(do something) late,遅く,おそく,6,遅,21
younger sister,妹,いもうと,7,妹,21
younger brother,弟,おとうと,7,弟,21
brothers and sisters,兄弟,きょうだい,7,兄弟,21
to be late (for ...),遅くなる,おそくなる,8,遅,21
young,若い,わかい,9,若,21
slow; late,遅い,おそい,10,遅,21
cold,風,かぜ,12,風,21
to worry,心配する,しんぱいする,12,心配,21
for the first time,初めて,はじめて,12,初,21
happy (lasting happiness),幸せ,しあわせ,13,幸,21
to send,送る,おくる,14,送,21
[counter for equipment],台,だい,14,台,21
typhoon,台風,たいふう,16,台風,21
"to miss (a train, bus, etc.)",乗り遅れる,のりおくれる,16,乗遅,21
to walk/drive (someone),送る,おくる,19,送,21
to become late,遅れる,おくれる,19,遅,21
heavy; serious (illness),重い,おもい,20,重,21
wind,風,かぜ,22,風,21
worried about,心配,しんぱい,22,心配,21
to make a plan,計画を立てる,けいかくをたてる,22,計画立,21
bank,銀行,ぎんこう,2,銀行,22
weekend,週末,しゅうまつ,3,週末,22
to wait,待つ,まつ,4,待,22
to forget; to leave behind,忘れる,わすれる,6,忘,22
black,黒い,くろい,9,黒,22
station,駅,えき,10,駅,22
best,一番,いちばん,10,一番,22
business to take care of,用事,ようじ,12,用事,22
station attendant,駅員,えきいん,16,駅員,22
to show (someone) around,案内する,あんないする,16,案内,22
to explain,説明する,せつめいする,16,説明,22
overtime work,残業,ざんぎょう,17,残業,22
diary,日記,にっき,18,日記,22
evening,夕方,ゆうがた,18,夕方,22
answering machine,留守番電話,るすばんでんわ,18,留守番電話,22
novel,小説,しょうせつ,20,小説,22
to keep (someone) waiting,待たせる,またせる,20,待,22
absence; not at home,留守,るす,21,留守,22
dinner,夕食,ゆうしょく,23,夕食,22
looking after a house during one's absence,留守番,るすばん,23,留守番,22