,Unnamed: 0,Kana,Kanji,Meaning,Lesson,vocabulary_kanji,lesson_col
8,10,〜じ,〜時,o'clock,1,時,3
65,96,〜えん,〜円,...yen,2,円,3
102,154,ときどき,時々,sometimes,3,時,3
123,188,とき,時,when...; at the time of...,4,時,3
327,459,ひとつ,一つ,one,9,一,3
328,460,ふたつ,二つ,two,9,二,3
329,461,みっつ,三つ,three,9,三,3
330,462,よっつ,四つ,four,9,四,3
331,463,いつつ,五つ,five,9,五,3
332,464,むっつ,六つ,six,9,六,3
333,465,ななつ,七つ,seven,9,七,3
334,466,やっつ,八つ,eight,9,八,3
335,467,ここのつ,九つ,nine,9,九,3
336,468,とお,十,ten,9,十,3
9,11,〜じん,〜人,people,1,人,4
17,20,にほん,日本,Japan,1,日本,4
19,23,はん,半,half,1,半,4
58,88,ほん,本,book,2,本,4
75,119,みず,水,water,3,水,4
83,131,どようび,土曜日,Saturday,3,土曜日,4
84,132,にちようび,日曜日,Sunday,3,日曜日,4
112,172,ひと,人,person,4,人,4
124,189,かようび,火曜日,Tuesday,4,火曜日,4
125,190,すいようび,水曜日,Wednesday,4,水曜日,4
126,191,もくようび,木曜日,Thursday,4,木曜日,4
127,192,きんようび,金曜日,Friday,4,金曜日,4
133,207,ひとりで,一人で,alone,4,一人,4
138,213,なか,中,inside,4,中,4
139,214,うえ,上,on,4,上,4
140,215,した,下,under,4,下,4
143,221,げつようび,月曜日,Monday,4,月曜日,4
185,276,おかね,お金,money,6,金,4
262,371,ひとり,一人,one person,7,一人,4
263,372,ふたり,二人,two people,7,二人,4
431,599,にさんにち,二三日,for two to three days,12,二三日,4
463,646,いちにち,一日,one day,13,一日,4
464,647,ふつか,二日,two days,13,二日,4
465,648,みっか,三日,three days,13,三日,4
466,649,よっか,四日,four days,13,四日,4
467,650,いつか,五日,five days,13,五日,4
468,651,むいか,六日,six days,13,六日,4
469,652,なのか,七日,seven days,13,七日,4
470,653,ようか,八日,eight days,13,八日,4
471,654,ここのか,九日,nine days,13,九日,4
472,655,とおか,十日,ten days,13,十日,4
498,704,ぽん,本,[counter for long objects],14,本,4
520,730,おろす,下ろす,to withdraw (money),15,下,4
532,744,いちにちじゅう,一日中,all day long,15,一日中,4
542,755,ひ,日,day,16,日,4
653,909,くださる,下さる,honorific expression for くれる,19,下,4
681,948,つき,月,moon,20,月,4
748,1046,き,木,tree,22,木,4
0,1,いま,今,now,1,今,5
22,26,わたし,私,I,1,私,5
80,127,きょう,今日,today,3,今日,5
87,135,いく,行く,to go,3,行,5
90,138,のむ,飲む,to drink,3,飲,5
94,142,たべる,食べる,to eat,3,食,5
96,144,みる,見る,to see; to look at; to watch,3,見,5
150,230,てんき,天気,weather,5,天気,5
172,256,げんき（な）,元気,healthy; energetic,5,元気,5
231,330,おとこのひと,男の人,man,7,男人,5
234,333,おんなのひと,女の人,woman,7,女人,5
269,383,こんげつ,今月,this month,8,今月,5
290,411,じろじろみる,じろじろ見る,to stare (at ...),8,見,5
319,448,にんきがある,人気がある,to be popular,9,人気,5
381,530,やま,山,mountain,11,山,5
429,596,げんきがない,元気がない,don't look well,12,元気,5
448,627,わたくし,私,I (formal),13,私,5
493,697,わたしたち,私たち,we,14,私,5
526,737,きをつける,気をつける,to be cautious/careful,15,気,5
529,740,みえる,見える,to be visible,15,見,5
558,774,みせる,見せる,to show,16,見,5
563,780,きょうじゅうに,今日中に,by the end of today,16,今日中,5
569,789,おとこ,男,man,17,男,5
571,791,おんな,女,woman,17,女,5
628,875,いますぐ,今すぐ,right away,18,今,5
735,1029,みつける,見つける,to find,21,見,5
816,1133,げんきでね,元気でね,Take care of yourself.,23,元気,5
2,3,がくせい,学生,student,1,学生,6
10,12,せんせい,先生,teacher; Professor ...,1,先生,6
12,15,だいがく,大学,college; university,1,大学,6
24,32,ちゅうごく,中国,China,1,中国,6
38,48,だいがくせい,大学生,college student,1,大学生,6
134,209,みぎ,右,right,4,右,6
135,210,ひだり,左,left,4,左,6
162,243,おおきい,大きい,large,5,大,6
181,268,でかける,出かける,to go out,5,出,6
239,338,くに,国,country; place of origin,7,国,6
271,385,だいがくせい,大学生,college student,8,大学生,6
307,435,せんげつ,先月,last month,9,先月,6
323,453,でる,出る,(1) to appear; to attend (2) to exit,9,出,6
373,517,がいこく,外国,foreign country,11,外国,6
424,590,せきがでる,せきが出る,to cough,12,出,6
433,604,おとな,大人,adult,13,大人,6
501,707,がいこくじん,外国人,foreigner,15,外国人,6
549,764,だす,出す,to take (something) out; to hand in (something),16,出,6
601,843,そと,外,outside,18,外,6
640,892,ちゅうがくせい,中学生,junior high school student,19,中学生,6
3,4,〜ご,〜語,language,1,語,7
4,5,こうこう,高校,high school,1,高校,7
30,40,ぶんがく,文学,literature,1,文学,7
35,45,こうこうせい,高校生,high school student,1,高校生,7
40,50,おかあさん,お母さん,mother,1,母,7
41,51,おとうさん,お父さん,father,1,父,7
66,97,たかい,高い,expensive,2,高,7
78,123,がっこう,学校,school,3,学校,7
85,133,まいにち,毎日,every day,3,毎日,7
88,136,かえる,帰る,to go back; to return,3,帰,7
128,193,あう,会う,to meet; to see (a person),4,会,7
167,248,ちいさい,小さい,small,5,小,7
211,305,はいる,入る,to enter,6,入,7
235,334,かいしゃ,会社,company,7,会社,7
242,342,ちち,父,(my) father,7,父,7
297,421,いいこ,いい子,good child,9,子,7
371,514,おとこのこ,男の子,boy,11,男子,7
372,516,おんなのこ,女の子,girl,11,女子,7
434,605,がいこくご,外国語,foreign language,13,外国語,7
481,673,はは,母,(my) mother,14,母,7
556,772,いれる,入れる,to put (something) in,16,入,7
634,885,おこさん,お子さん,(your/their) child (polite),19,子,7
794,1101,しょうがっこう,小学校,elementary school,23,小学校,7
16,19,なん／なに,何,what,1,何,8
32,42,しごと,仕事,job; work; occupation,1,仕事,8
34,44,かいしゃいん,会社員,office worker,1,会社員,8
55,81,しんぶん,新聞,newspaper,2,新聞,8
89,137,きく,聞く,to listen; to hear,3,聞,8
92,140,よむ,読む,to read,3,読,8
156,237,やすみ,休み,holiday; day off; absence,5,休,8
158,239,あたらしい,新しい,new,5,新,8
179,265,きく,聞く,to ask,5,聞,8
191,283,つぎ,次,next,6,次,8
192,285,でんき,電気,electricity,6,電気,8
193,286,でんしゃ,電車,train,6,電車,8
213,307,やすむ,休む,to be absent (from...); to rest,6,休,8
240,339,くるま,車,car,7,車,8
266,378,かいしゃいん,会社員,office worker,8,会社員,8
270,384,しごと,仕事,job; work; occupation,8,仕事,8
275,391,なにか,何か,something,8,何,8
284,404,いう,言う,to say,8,言,8
286,407,おもう,思う,to think,8,思,8
288,409,つくる,作る,to make,8,作,8
304,431,さくぶん,作文,essay; composition,9,作文,8
428,595,おだいじに,お大事に,Get well soon.,12,大事,8
480,671,でんしメール,電子メール,e-mail,14,電子,8
651,907,おやすみになる,お休みになる,honorific expression for ねる,19,休,8
692,965,きこえる,聞こえる,to be audible,20,聞,8
710,991,こと,事,things; matters,21,事,8
788,1095,おもいで,思い出,memory,23,思出,8
5,6,ごご,午後,P.M.,1,午後,9
6,7,ごぜん,午前,A.M.,1,午前,9
13,16,でんわ,電話,telephone,1,電話,9
15,18,なまえ,名前,name,1,名前,9
76,120,いえ,家,home; house,3,家,9
77,121,うち,家,home; house; my place,3,家,9
91,139,はなす,話す,to speak; to talk,3,話,9
97,145,くる,来る,to come,3,来,9
120,185,〜じかん,〜時間,hour,4,時間,9
121,186,いちじかん,一時間,one hour,4,一時間,9
130,196,かく,書く,to write,4,書,9
136,211,まえ,前,front,4,前,9
137,212,うしろ,後ろ,back,4,後,9
142,218,あいだ,間,between,4,間,9
168,250,ふるい,古い,old (thing - not used for people),5,古,9
219,314,でんわをかける,電話をかける,to make a phone call,6,電話,9
223,318,あとで,後で,later on,6,後,9
254,358,しる,知る,to get to know,7,知,9
255,359,しっています,知っています,I know,7,知,9
256,360,しりません,知りません,I do not know,7,知,9
265,377,あめ,雨,rain,8,雨,9
278,398,らいげつ,来月,next month,8,来月,9
314,443,しろい,白い,white,9,白,9
392,548,あと,後,after (an event),11,後,9
475,659,おおやさん,大家さん,landlord,14,大家,9
479,669,じかん,時間,time,14,時間,9
564,781,このあいだ,この間,the other day,16,間,9
581,808,すくない,少ない,a little; a few,17,少,9
597,833,まえ,前,before...,17,前,9
598,835,あと,後,the rest,18,後,9
644,897,はなし,話,chat; talk,19,話,9
664,925,はなしをする,話をする,to have a talk,19,話,9
701,977,しょうしょう,少々,a few seconds,20,少,9
739,1035,〜あいだに,〜間に,while...,21,間,9
740,1037,すこし,少し,a little,21,少,9
746,1044,かじ,家事,household matters,22,家事,9
787,1094,もうすこし,もう少し,a little more,22,少,9
803,1114,あめがやむ,雨がやむ,the rain stops,23,雨,9
18,21,〜ねんせい,〜年生,...year student,1,年生,10
79,124,あさ,朝,morning,3,朝,10
118,181,まち,町,town; city,4,町,10
129,195,かう,買う,to buy,4,買,10
196,290,よる,夜,night,6,夜,10
198,292,らいねん,来年,next year,6,来年,10
207,301,たつ,立つ,to stand up,6,立,10
212,306,もつ,持つ,to carry; to hold,6,持,10
222,317,もってくる,持ってくる,to bring (a thing),6,持,10
248,351,ながい,長い,long,7,長,10
257,361,すむ,住む,to live,7,住,10
268,382,けさ,今朝,this morning,8,今朝,10
289,410,もっていく,持っていく,to take (something),8,持,10
339,471,おかねもち,お金持ち,rich person,10,金持,10
342,475,ことし,今年,this year,10,今年,10
370,513,おしょうがつ,お正月,New Year's,11,正月,10
376,522,しゃちょう,社長,president of a company,11,社長,10
411,576,ゆき,雪,snow,12,雪,10
519,729,うる,売る,to sell,15,売,10
543,757,みち,道,way; road; directions,16,道,10
566,785,じぶんで,自分で,(do something) oneself,16,自分,10
594,826,じぶん,自分,oneself,17,自分,10
666,929,まいあさ,毎朝,every morning,19,毎朝,10
37,47,だいがくいんせい,大学院生,graduate student,1,大学院生,11
67,104,えいが,映画,movie,3,映画,11
98,147,べんきょうする,勉強する,to study,3,勉強,11
110,169,てがみ,手紙,letter,4,手紙,11
116,178,びょういん,病院,hospital,4,病院,11
157,238,りょこう,旅行,travel,5,旅行,11
174,258,すき（な）,好き,fond of; to like,5,好,11
176,260,だいすき（な）,大好き,very fond of; to love,5,大好,11
229,328,うた,歌,song,7,歌,11
253,356,うたう,歌う,to sing,7,歌,11
273,388,ところ,所,place,8,所,11
279,399,じょうず,上手,skillful; good at...,8,上手,11
280,400,へた,下手,clumsy; poor at...,8,下手,11
281,401,ゆうめい,有名,famous,8,有名,11
309,438,びょうき,病気,illness; sickness,9,病気,11
353,489,ゆうめいじん,有名人,celebrity,10,有名人,11
374,518,かしゅ,歌手,singer,11,歌手,11
452,632,ちかい,近い,close; near,13,近,11
540,753,だいがくいん,大学院,graduate school,16,大学院,11
572,793,かみ,紙,paper,17,紙,11
580,806,りょこうがいしゃ,旅行会社,travel agency,17,旅行会社,11
582,809,つよい,強い,strong,17,強,11
607,853,あかるい,明るい,bright,18,明,11
93,141,おきる,起きる,to get up,3,起,12
99,149,はやい,早い,early,3,早,12
209,303,つかう,使う,to use,6,使,12
221,316,つれてくる,連れてくる,to bring (a person),6,連,12
249,352,はやい,早い,fast,7,早,12
298,422,いろ,色,color,9,色,12
303,430,こんど,今度,near future,9,今度,12
310,439,あおい,青い,blue,9,青,12
311,440,あかい,赤い,red,9,赤,12
368,511,はやく,早く,(do something) early; fast,10,早,12
387,540,はたらく,働く,to work,11,働,12
425,591,わかれる,別れる,to break up; to separate,12,別,12
546,760,おこす,起こす,to wake (someone) up,16,起,12
550,765,つれていく,連れていく,to take (someone) to (a place),16,連,12
704,984,あかちゃん,赤ちゃん,baby,21,赤,12
715,1000,むかし,昔,old days; past,21,昔,12
786,1092,なんども,何度も,many times,22,何度,12
47,70,にく,肉,meat,2,肉,13
103,160,かいもの,買い物,shopping,4,買物,13
144,222,うみ,海,sea,5,海,13
148,227,たべもの,食べ物,food,5,食物,13
151,231,のみもの,飲み物,drink,5,飲物,13
170,253,やすい,安い,inexpensive; cheap (thing),5,安,13
260,366,きる,着る,to put on (clothes above your waist),7,着,13
267,381,くうき,空気,air,8,空気,13
295,416,りょうりする,料理する,to cook,8,料理,13
410,575,もの,物,thing (concrete object),12,物,13
418,583,わるい,悪い,bad,12,悪,13
436,607,からて,空手,karate,13,空手,13
437,609,きもの,着物,kimono; Japanese traditional dress,13,着物,13
491,695,おなじ,同じ,same,14,同,13
524,735,つく,着く,to arrive,15,着,13
608,854,きぶんがわるい,気分が悪い,to feel sick,18,気分悪,13
674,940,くうこう,空港,airport,20,空港,13
789,1096,かいがいりょこう,海外旅行,trip to a foreign country,23,海外旅行,13
790,1097,からだ,体,body,23,体,13
806,1120,わるぐちをいう,悪口を言う,to talk behind someone's back,23,悪口言,13
1,2,えいご,英語,English (language),1,英語,14
21,25,りゅうがくせい,留学生,international student,1,留学生,14
33,43,いしゃ,医者,doctor,1,医者,14
68,105,おんがく,音楽,music,3,音楽,14
145,223,きって,切手,postal stamps,5,切手,14
166,247,たのしい,楽しい,fun,5,楽,14
180,266,のる,乗る,to ride; to board,5,乗,14
201,295,いそぐ,急ぐ,to hurry,6,急,14
226,323,ほんとうですか,本当ですか,Really?,6,本当,14
236,335,かぞく,家族,family,7,家族,14
251,354,しんせつ,親切,kind,7,親切,14
287,408,きる,切る,to cut,8,切,14
391,547,りゅうがくする,留学する,to study abroad,11,留学,14
398,559,かのじょ,彼女,girlfriend,12,彼女,14
399,560,かれ,彼,boyfriend,12,彼,14
446,623,みせ,店,shop; store,13,店,14
492,696,きょねん,去年,last year,14,去年,14
535,747,おや,親,parent,16,親,14
538,751,しんせき,親せき,relatives,16,親,14
631,879,ほんとうに,本当に,really,18,本当,14
665,928,ほんとうは,本当は,in fact; originally,19,本当,14
670,936,おと,音,sound,20,音,14
721,1007,たいせつ,大切,precious; valuable,21,大切,14
744,1042,えいかいわ,英会話,English conversation,22,英会話,14
765,1067,らく,楽,easy; comfortable,22,楽,14
46,68,さかな,魚,fish,2,魚,15
54,80,じてんしゃ,自転車,bicycle,2,自転車,15
113,173,おてら,お寺,temple,4,寺,15
205,299,しぬ,死ぬ,to die,6,死,15
217,311,かりる,借りる,to borrow,6,借,15
274,390,なつ,夏,summer,8,夏,15
316,445,いじわる,意地悪,mean-spirited,9,意地悪,15
395,555,あし,足,leg; foot,12,足,15
396,556,いみ,意味,meaning,12,意味,15
518,728,ひろい,広い,spacious; wide,15,広,15
589,819,たりる,足りる,to be sufficient; to be enough,17,足,15
615,861,ころぶ,転ぶ,to fall down,18,転,15
627,874,ちゅうもんする,注文する,to place an order,18,注文,15
663,924,ちゅういする,注意する,to watch out; to give warning,19,注意,15
769,1071,はしる,走る,to run,22,走,15
796,1105,ばしょ,場所,place,23,場所,15
106,165,こども,子供,child,4,子供,16
117,180,ほんや,本屋,bookstore,4,本屋,16
122,187,せんしゅう,先週,last week,4,先週,16
154,235,へや,部屋,room,5,部屋,16
189,281,こんしゅう,今週,this week,6,今週,16
197,291,らいしゅう,来週,next week,6,来週,16
214,308,あける,開ける,to open (something),6,開,16
215,309,おしえる,教える,to teach; to instruct,6,教,16
277,397,まいしゅう,毎週,every week,8,毎週,16
291,412,はじめる,始める,to begin,8,始,16
292,413,うんてんする,運転する,to drive,8,運転,16
320,449,はじまる,始まる,(something) begins,9,始,16
324,454,うんどうする,運動する,to do physical exercises,9,運動,16
344,479,せかい,世界,world,10,世界,16
462,645,ぜんぶ,全部,all,13,全部,16
610,856,あく,開く,(something) opens,18,開,16
623,870,かんがえる,考える,to think (about); to consider,18,考,16
645,898,ぶちょう,部長,department manager,19,部長,16
720,1006,あんぜん,安全,safe,21,安全,16
757,1055,ぶか,部下,subordinate,22,部下,16
768,1070,はこぶ,運ぶ,to carry from one place to another; transport,22,運,16
804,1116,おせわになる,お世話になる,to be in someone's care,23,世話,16
812,1127,せわをする,世話をする,to take care of ...,23,世話,16
7,8,〜さい,〜歳,...years old,1,歳,17
108,167,しゃしん,写真,picture; photograph,4,写真,17
261,369,けっこんする,結婚する,to get married,7,結婚,17
343,478,せいかつ,生活,life; living,10,生活,17
366,505,あるいて,歩いて,on foot,10,歩,17
385,538,ならう,習う,to learn,11,習,17
513,721,はっぴょう,発表,presentation,15,発表,17
555,771,あつめる,集める,to collect,16,集,17
675,941,じ,字,letter; character,20,字,17
683,952,あるく,歩く,to walk,20,歩,17
697,970,せいかつする,生活する,to lead a life,20,生活,17
62,92,としょかん,図書館,library,2,図書館,18
147,226,しゅくだい,宿題,homework,5,宿題,18
241,341,しょくどう,食堂,cafeteria; dining commons,7,食堂,18
243,344,め,目,eye,7,目,18
305,432,しけん,試験,exam,9,試験,18
318,447,おわる,終わる,(something) ends,9,終,18
377,523,じゅぎょう,授業,class,11,授業,18
408,571,ふく,服,clothes,12,服,18
455,637,かす,貸す,to lend; to rent,13,貸,18
500,706,えいがかん,映画館,movie theater,15,映画館,18
510,718,ちず,地図,map,15,地図,18
516,726,りょかん,旅館,inn,15,旅館,18
567,786,じゅぎょうちゅうに,授業中に,in class; during the class,16,授業中,18
711,992,しゅうでん,終電,last train,21,終電,18
793,1100,じゅぎょうりょう,授業料,tuition,23,授業料,18
26,34,アジアけんきゅう,アジア研究,Asian studies,1,研究,19
42,52,おねえさん,お姉さん,older sister,1,姉,19
43,53,おにいさん,お兄さん,older brother,1,兄,19
187,279,かんじ,漢字,kanji; Chinese character,6,漢字,19
227,325,あね,姉,(my) older sister,7,姉,19
232,331,おにいさん,お兄さん,older brother,7,兄,19
233,332,おねえさん,お姉さん,older sister,7,姉,19
276,395,ふゆ,冬,winter,8,冬,19
337,469,あき,秋,fall,10,秋,19
348,483,はる,春,spring,10,春,19
406,569,はな,花,flower,12,花,19
415,580,おおい,多い,there are many...,12,多,19
430,597,たぶん,多分,probably; maybe,12,多分,19
474,658,あに,兄,(my) older brother,14,兄,19
530,742,そつぎょうする,卒業する,to graduate (from ...),15,卒業,19
667,931,〜めいさま,〜名様,party of ... people,19,名様,19
673,939,かみさま,神様,God,20,神様,19
709,990,こうじょう,工場,factory,21,工場,19
72,114,おちゃ,お茶,green tea,3,茶,20
184,274,〜まい,〜枚,[counter for flat objects],5,枚,20
363,502,はらう,払う,to pay,10,払,20
414,579,いたい,痛い,hurt; painful,12,痛,20
478,668,さら,皿,plate; dish,14,皿,20
485,683,りょうしん,両親,parents,14,両親,20
533,745,さいきん,最近,recently,15,最近,20
554,769,わらう,笑う,to laugh,16,笑,20
785,1089,ぜったいに,絶対に,definitely,22,絶対,20
44,54,いもうと,妹,younger sister,1,妹,21
45,55,おとうと,弟,younger brother,1,弟,21
56,83,とけい,時計,watch; clock,2,時計,21
104,163,いぬ,犬,dog,4,犬,21
224,319,おそく,遅く,(do something) late,6,遅,21
228,327,いもうと,妹,younger sister,7,妹,21
230,329,おとうと,弟,younger brother,7,弟,21
238,337,きょうだい,兄弟,brothers and sisters,7,兄弟,21
285,406,おそくなる,遅くなる,to be late (for ...),8,遅,21
315,444,わかい,若い,young,9,若,21
357,494,おそい,遅い,slow; late,10,遅,21
397,558,かぜ,風,cold,12,風,21
427,593,しんぱいする,心配する,to worry,12,心配,21
432,600,はじめて,初めて,for the first time,12,初,21
453,634,しあわせ,幸せ,happy (lasting happiness),13,幸,21
488,687,おくる,送る,to send,14,送,21
496,702,だい,台,[counter for equipment],14,台,21
541,754,たいふう,台風,typhoon,16,台風,21
557,773,のりおくれる,乗り遅れる,"to miss (a train, bus, etc.)",16,乗遅,21
649,904,おくる,送る,to walk/drive (someone),19,送,21
660,918,おくれる,遅れる,to become late,19,遅,21
682,951,おもい,重い,heavy; serious (illness),20,重,21
747,1045,かぜ,風,wind,22,風,21
762,1063,しんぱい,心配,worried about,22,心配,21
775,1077,けいかくをたてる,計画を立てる,to make a plan,22,計画立,21
61,91,ぎんこう,銀行,bank,2,銀行,22
82,130,しゅうまつ,週末,weekend,3,週末,22
132,198,まつ,待つ,to wait,4,待,22
220,315,わすれる,忘れる,to forget; to leave behind,6,忘,22
312,441,くろい,黒い,black,9,黒,22
338,470,えき,駅,station,10,駅,22
367,506,いちばん,一番,best,10,一番,22
412,577,ようじ,用事,business to take care of,12,用事,22
534,746,えきいん,駅員,station attendant,16,駅員,22
560,776,あんないする,案内する,to show (someone) around,16,案内,22
561,777,せつめいする,説明する,to explain,16,説明,22
575,798,ざんぎょう,残業,overtime work,17,残業,22
602,845,にっき,日記,diary,18,日記,22
604,848,ゆうがた,夕方,evening,18,夕方,22
605,850,るすばんでんわ,留守番電話,answering machine,18,留守番電話,22
678,944,しょうせつ,小説,novel,20,小説,22
695,968,またせる,待たせる,to keep (someone) waiting,20,待,22
718,1003,るす,留守,absence; not at home,21,留守,22
800,1110,ゆうしょく,夕食,dinner,23,夕食,22
802,1112,るすばん,留守番,looking after a house during one's absence,23,留守番,22
